,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
71,Co-op City,40.87429419303012,-73.82993910812398,The Children's Place,40.866972141895964,-73.82587946178818,Kids Store
72,Co-op City,40.87429419303012,-73.82993910812398,Stop and Shop,40.8805949430529,-73.82563591003418,Supermarket
73,Co-op City,40.87429419303012,-73.82993910812398,Popeyes Louisiana Kitchen,40.86860057501349,-73.8312082077379,Fried Chicken Joint
74,Co-op City,40.87429419303012,-73.82993910812398,Dunkin',40.86780008007166,-73.8333645677676,Donut Shop
75,Co-op City,40.87429419303012,-73.82993910812398,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place
76,Co-op City,40.87429419303012,-73.82993910812398,The Garage,40.88216467197872,-73.82759319234759,Nightclub
77,Co-op City,40.87429419303012,-73.82993910812398,Staples,40.8675818,-73.8289133,Paper / Office Supplies Store
78,Co-op City,40.87429419303012,-73.82993910812398,7 eleven,40.869155118939915,-73.83156599525223,Convenience Store
79,Co-op City,40.87429419303012,-73.82993910812398,Arby's,40.87028,-73.828611,Fast Food Restaurant
80,Co-op City,40.87429419303012,-73.82993910812398,AT&T,40.86826790527491,-73.82484197616577,Mobile Phone Shop
81,Co-op City,40.87429419303012,-73.82993910812398,Saks OFF 5TH,40.86566801,-73.8296628,Department Store
82,Co-op City,40.87429419303012,-73.82993910812398,Pizza Hut,40.8686218839239,-73.83380771265149,Pizza Place
83,Co-op City,40.87429419303012,-73.82993910812398,SUBWAY,40.868719,-73.83370699999999,Sandwich Place
84,Co-op City,40.87429419303012,-73.82993910812398,Dunkin',40.8697065,-73.8295177,Donut Shop
85,Co-op City,40.87429419303012,-73.82993910812398,Claire's,40.8668555145782,-73.82810756416545,Accessories Store
86,Co-op City,40.87429419303012,-73.82993910812398,AMC Bay Plaza Cinema 13,40.866993771217054,-73.82508460459398,Movie Theater
87,Co-op City,40.87429419303012,-73.82993910812398,Torrid,40.867559,-73.825149,Clothing Store
88,Co-op City,40.87429419303012,-73.82993910812398,Bob's Discount Furniture,40.8668145,-73.827436,Furniture / Home Store
89,Co-op City,40.87429419303012,-73.82993910812398,Chase Bank,40.867348,-73.827217,Bank
90,Co-op City,40.87429419303012,-73.82993910812398,Dressbarn,40.866988,-73.825358,Women's Store
91,Co-op City,40.87429419303012,-73.82993910812398,Mattress Firm,40.86881401929237,-73.83367127976226,Mattress Store
92,Co-op City,40.87429419303012,-73.82993910812398,Moe's Southwest Grill,40.86631,-73.83032,Mexican Restaurant
93,Co-op City,40.87429419303012,-73.82993910812398,McDonald's,40.86870592437685,-73.83058532145697,Fast Food Restaurant
94,Co-op City,40.87429419303012,-73.82993910812398,Party City,40.866721011414036,-73.82841083168671,Miscellaneous Shop
95,Co-op City,40.87429419303012,-73.82993910812398,Verizon,40.866683850467645,-73.82628383583449,Mobile Phone Shop
96,Co-op City,40.87429419303012,-73.82993910812398,Men's Wearhouse,40.869281189996855,-73.83092614068846,Men's Store
97,Co-op City,40.87429419303012,-73.82993910812398,Verizon,40.866988,-73.825358,Mobile Phone Shop
98,Co-op City,40.87429419303012,-73.82993910812398,Burlington,40.866486,-73.826899,Department Store
99,Co-op City,40.87429419303012,-73.82993910812398,Haffen Park,40.87359183437905,-73.8385091455745,Park
100,Co-op City,40.87429419303012,-73.82993910812398,Food Universe Marketplace,40.87673987981054,-73.82898048976519,Grocery Store
101,Co-op City,40.87429419303012,-73.82993910812398,Forever 21,40.866463,-73.82951800000001,Clothing Store
102,Co-op City,40.87429419303012,-73.82993910812398,New York & Company,40.86577,-73.82981,Women's Store
103,Co-op City,40.87429419303012,-73.82993910812398,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant
104,Co-op City,40.87429419303012,-73.82993910812398,Applebee's Grill + Bar,40.86618631,-73.82647786,American Restaurant
105,Co-op City,40.87429419303012,-73.82993910812398,truman track n field,40.87496253317124,-73.83084729386773,Baseball Field
106,Co-op City,40.87429419303012,-73.82993910812398,Guang Hui Chinese Restaurant,40.876651,-73.829092,Chinese Restaurant
107,Co-op City,40.87429419303012,-73.82993910812398,Section 4 Basketball Courts (Co Op City),40.872412,-73.826302,Basketball Court
108,Co-op City,40.87429419303012,-73.82993910812398,The Park,40.87764512391663,-73.83083580661068,Park
109,Co-op City,40.87429419303012,-73.82993910812398,P.C. Richard & Son,40.86811787434579,-73.83059312471943,Electronics Store
110,Co-op City,40.87429419303012,-73.82993910812398,Modell's Sporting Goods,40.867080780477885,-73.82567456237783,Sporting Goods Shop
111,Co-op City,40.87429419303012,-73.82993910812398,Golden Krust Caribbean Restaurant,40.880751611799155,-73.82378110077026,Caribbean Restaurant
112,Co-op City,40.87429419303012,-73.82993910812398,Jimmy Jazz,40.87328580179024,-73.82436990737915,Accessories Store
113,Co-op City,40.87429419303012,-73.82993910812398,Ramada Bronx,40.879865,-73.831504,Hotel
114,Co-op City,40.87429419303012,-73.82993910812398,24 Hour Fitness,40.86781839234004,-73.82498414619204,Gym / Fitness Center
115,Co-op City,40.87429419303012,-73.82993910812398,Haffen Park Pool,40.874529364377544,-73.83745809954557,Pool
116,Co-op City,40.87429419303012,-73.82993910812398,Kmart,40.86646442,-73.8294637,Department Store
117,Co-op City,40.87429419303012,-73.82993910812398,City Pizza,40.88045918137706,-73.82397205125304,Pizza Place
118,Co-op City,40.87429419303012,-73.82993910812398,MTA Subway - Baychester Ave (5),40.87935541145089,-73.83761200125794,Metro Station
119,Co-op City,40.87429419303012,-73.82993910812398,Hungry Howie's,40.880556457550355,-73.8237710171732,Pizza Place
120,Co-op City,40.87429419303012,-73.82993910812398,Thru-way Pizza & Grill,40.882481,-73.829751,Pizza Place
121,Co-op City,40.87429419303012,-73.82993910812398,Pelham Bay Plaza,40.867237416357796,-73.8241960604158,Department Store
122,Co-op City,40.87429419303012,-73.82993910812398,China Top,40.87436663405383,-73.84122001442189,Chinese Restaurant
123,Co-op City,40.87429419303012,-73.82993910812398,Chinese Buffet,40.88053257622219,-73.82376206745879,Chinese Restaurant
124,Eastchester,40.887555677350775,-73.82780644716412,Fish & Ting,40.885656,-73.829197,Caribbean Restaurant
125,Eastchester,40.887555677350775,-73.82780644716412,Cozy Cottage Restaurant,40.88633207186384,-73.82761561924221,Diner
126,Eastchester,40.887555677350775,-73.82780644716412,Mario's Pizza,40.88862762439113,-73.83126012557018,Pizza Place
127,Eastchester,40.887555677350775,-73.82780644716412,Dyre Fish Market,40.889317642958616,-73.83145257358296,Seafood Restaurant
128,Eastchester,40.887555677350775,-73.82780644716412,Taco Bell,40.88302914904598,-73.82490116273638,Fast Food Restaurant
129,Eastchester,40.887555677350775,-73.82780644716412,Fairway Market,40.89176235395443,-73.82037622564654,Grocery Store
130,Eastchester,40.887555677350775,-73.82780644716412,HomeGoods,40.8908145,-73.8208492,Furniture / Home Store
131,Eastchester,40.887555677350775,-73.82780644716412,Gourmet Express,40.890508467185455,-73.81759071296698,Café
132,Eastchester,40.887555677350775,-73.82780644716412,Smashburger,40.890171687288685,-73.82058366950676,Burger Joint
133,Eastchester,40.887555677350775,-73.82780644716412,St. Paul's Church National Historic Site,40.89348196615198,-73.82532759000522,Historic Site
134,Eastchester,40.887555677350775,-73.82780644716412,Fairway Wines & Spirits,40.89161191917169,-73.8204496174189,Wine Shop
135,Eastchester,40.887555677350775,-73.82780644716412,Panera Bread,40.8914937,-73.8190083,Bakery
136,Eastchester,40.887555677350775,-73.82780644716412,Kinetic Sports Club,40.89221928580828,-73.81810901930359,Gym
137,Eastchester,40.887555677350775,-73.82780644716412,Dunkin',40.88538419291817,-73.8280987591753,Donut Shop
138,Eastchester,40.887555677350775,-73.82780644716412,Dyre Deli Grocery,40.88823525219036,-73.8312823268945,Deli / Bodega
139,Eastchester,40.887555677350775,-73.82780644716412,Dave & Buster's,40.892236,-73.821055,Sports Bar
140,Eastchester,40.887555677350775,-73.82780644716412,Yumi Asian Bistro & Hibachi Steak House,40.89341523171208,-73.82032545549927,Asian Restaurant
141,Eastchester,40.887555677350775,-73.82780644716412,IHOP,40.89003347839588,-73.81958492731994,Breakfast Spot
142,Eastchester,40.887555677350775,-73.82780644716412,Rite Aid,40.881139,-73.823758,Pharmacy
143,Eastchester,40.887555677350775,-73.82780644716412,BowlerLand,40.88601990111869,-73.82320747767668,Bowling Alley
144,Eastchester,40.887555677350775,-73.82780644716412,Dollar Tree,40.89356135604874,-73.82026271600698,Discount Store
145,Eastchester,40.887555677350775,-73.82780644716412,Five Guys,40.89389489449381,-73.81987218748435,Burger Joint
146,Eastchester,40.887555677350775,-73.82780644716412,Golden Krust Caribbean Restaurant,40.888488,-73.83108299999999,Caribbean Restaurant
147,Eastchester,40.887555677350775,-73.82780644716412,24 Hour Fitness,40.89229756193752,-73.82047365234841,Gym / Fitness Center
148,Eastchester,40.887555677350775,-73.82780644716412,Shopwell Plaza,40.88414438691145,-73.83200095565496,Shopping Mall
149,Eastchester,40.887555677350775,-73.82780644716412,The Garage,40.88216467197872,-73.82759319234759,Nightclub
150,Eastchester,40.887555677350775,-73.82780644716412,GameStop,40.89339494777863,-73.81979831212374,Video Game Store
151,Eastchester,40.887555677350775,-73.82780644716412,PEARTREE PLAZA MALL,40.88079962648702,-73.82368505269557,Shopping Mall
152,Eastchester,40.887555677350775,-73.82780644716412,Five Below,40.89267123469693,-73.81833095183663,Discount Store
153,Eastchester,40.887555677350775,-73.82780644716412,Wendy's,40.88959742209178,-73.81994292140007,Fast Food Restaurant
154,Eastchester,40.887555677350775,-73.82780644716412,Dunkin',40.894053559836536,-73.82401608723755,Donut Shop
155,Eastchester,40.887555677350775,-73.82780644716412,GNC,40.89101784734083,-73.82074507058611,Supplement Shop
156,Eastchester,40.887555677350775,-73.82780644716412,Columbus Diner,40.89446524525078,-73.82424218679706,Diner
157,Eastchester,40.887555677350775,-73.82780644716412,SUBWAY,40.88393200040707,-73.83199027260656,Sandwich Place
158,Eastchester,40.887555677350775,-73.82780644716412,Stop and Shop,40.8805949430529,-73.82563591003418,Supermarket
159,Eastchester,40.887555677350775,-73.82780644716412,Wingstop,40.891268,-73.819114,Wings Joint
160,Eastchester,40.887555677350775,-73.82780644716412,Jimmy's Best Chinese Restaurant,40.8841792178673,-73.83268490851218,Asian Restaurant
161,Eastchester,40.887555677350775,-73.82780644716412,Pelham Manor Shopping Plaza,40.8922573067517,-73.81776143990406,Shopping Mall
162,Eastchester,40.887555677350775,-73.82780644716412,Lane Bryant,40.891329,-73.821005,Women's Store
163,Eastchester,40.887555677350775,-73.82780644716412,Mingles,40.884145813963066,-73.83261297304038,Cocktail Bar
164,Eastchester,40.887555677350775,-73.82780644716412,Dyre Ave Diner,40.887968729082246,-73.83141284372412,Diner
165,Eastchester,40.887555677350775,-73.82780644716412,Sally Beauty,40.89108,-73.820714,Health & Beauty Service
166,Eastchester,40.887555677350775,-73.82780644716412,T-Mobile,40.892861,-73.818548,Mobile Phone Shop
167,Eastchester,40.887555677350775,-73.82780644716412,The Vitamin Shoppe,40.8930603,-73.8193219,Supplement Shop
168,Eastchester,40.887555677350775,-73.82780644716412,Chase Bank,40.89247656015229,-73.81878152489662,Bank
169,Eastchester,40.887555677350775,-73.82780644716412,McDonald's,40.88563631373264,-73.82683955509486,Fast Food Restaurant
170,Eastchester,40.887555677350775,-73.82780644716412,Marshalls,40.890873,-73.821115,Department Store
171,Eastchester,40.887555677350775,-73.82780644716412,T-Mobile,40.892658,-73.818309,Mobile Phone Shop
172,Eastchester,40.887555677350775,-73.82780644716412,Dressbarn,40.891231,-73.820894,Women's Store
173,Eastchester,40.887555677350775,-73.82780644716412,Royal Caribbean Bakery,40.888249,-73.831661,Caribbean Restaurant
174,Eastchester,40.887555677350775,-73.82780644716412,CTown Supermarkets,40.88429701,-73.83370186,Grocery Store
175,Eastchester,40.887555677350775,-73.82780644716412,Pimento Caribbean Restaurant,40.88436878845637,-73.83211203676869,Caribbean Restaurant
176,Eastchester,40.887555677350775,-73.82780644716412,MTA New York City Bus/Bee Line - Bx16/Bx30/W60/W61/W62 (Pelham/Co-op City/White Plains/Port Chester) @ Boston Road and Conner Street,40.88594,-73.82787,Bus Stop
177,Eastchester,40.887555677350775,-73.82780644716412,Fish N Ting,40.886143934892466,-73.82953774226677,Restaurant
178,Eastchester,40.887555677350775,-73.82780644716412,BP,40.89405892,-73.82426564,Gas Station
179,Eastchester,40.887555677350775,-73.82780644716412,"MTA MaBSTOA & Bee-Line Bus: (Bx16, BL 52, 55)",40.88800860085501,-73.83133279875986,Bus Station
180,Eastchester,40.887555677350775,-73.82780644716412,Freckle's Juice,40.88878559548764,-73.83117532757048,Juice Bar
181,Eastchester,40.887555677350775,-73.82780644716412,FedEx Ship Center,40.895506,-73.82764,Shipping Store
182,Eastchester,40.887555677350775,-73.82780644716412,Golden Krust Caribbean Restaurant,40.880751611799155,-73.82378110077026,Caribbean Restaurant
183,Eastchester,40.887555677350775,-73.82780644716412,Thru-way Pizza & Grill,40.882481,-73.829751,Pizza Place
184,Eastchester,40.887555677350775,-73.82780644716412,Shell,40.89152962994204,-73.8174939773084,Gas Station
185,Eastchester,40.887555677350775,-73.82780644716412,Modell's Sporting Goods,40.89257968049204,-73.81993080158198,Sporting Goods Shop
186,Eastchester,40.887555677350775,-73.82780644716412,Ramada Bronx,40.879865,-73.831504,Hotel
187,Eastchester,40.887555677350775,-73.82780644716412,Best Chinese Restaurant,40.88323041944512,-73.83525260772788,Chinese Restaurant
188,Eastchester,40.887555677350775,-73.82780644716412,City Pizza,40.88045918137706,-73.82397205125304,Pizza Place
189,Eastchester,40.887555677350775,-73.82780644716412,Annie Sez,40.891387,-73.818869,Women's Store
190,Eastchester,40.887555677350775,-73.82780644716412,Gormet Deli & Cafe,40.890461053103884,-73.81792370808928,Sandwich Place
191,Eastchester,40.887555677350775,-73.82780644716412,de reimer deli and grocery,40.88149294728297,-73.83572357419423,Deli / Bodega
192,Eastchester,40.887555677350775,-73.82780644716412,Knuckleheads,40.891075,-73.81718199999999,Bar
193,Fieldston,40.89543742690383,-73.90564259591682,Wave Hill,40.900062189494726,-73.9124461576627,Garden
194,Fieldston,40.89543742690383,-73.90564259591682,Lloyd's Carrot Cake,40.894060199383176,-73.89652847601737,Bakery
195,Fieldston,40.89543742690383,-73.90564259591682,Riverdale Ave,40.890424929507866,-73.91024841803598,Plaza
196,Fieldston,40.89543742690383,-73.90564259591682,Tortoise And Hare,40.894121999999996,-73.89679,Sports Bar
197,Fieldston,40.89543742690383,-73.90564259591682,Yo-Burger,40.88733734314313,-73.9071843648891,Burger Joint
198,Fieldston,40.89543742690383,-73.90564259591682,Tin Marin,40.88707311362176,-73.90714828242368,Tapas Restaurant
199,Fieldston,40.89543742690383,-73.90564259591682,An Beal Bocht Cafe,40.88730309009836,-73.90502527528892,Bar
200,Fieldston,40.89543742690383,-73.90564259591682,Salvatore's of Soho,40.887632762259415,-73.90717756259086,Pizza Place
201,Fieldston,40.89543742690383,-73.90564259591682,Skyview Wines and Spirits,40.903420126082416,-73.90577158410362,Wine Shop
202,Fieldston,40.89543742690383,-73.90564259591682,Jake’s Steakhouse,40.89163832603088,-73.89757290885106,Steakhouse
203,Fieldston,40.89543742690383,-73.90564259591682,Greek Express,40.88749950271757,-73.90726184172892,Greek Restaurant
204,Fieldston,40.89543742690383,-73.90564259591682,Tortoise and Hare Statue,40.89393751979629,-73.89612436294556,Public Art
205,Fieldston,40.89543742690383,-73.90564259591682,Broadway Joe's Pizza,40.8898981274626,-73.8985080809925,Pizza Place
206,Fieldston,40.89543742690383,-73.90564259591682,Chase Bank,40.888089,-73.907921,Bank
207,Fieldston,40.89543742690383,-73.90564259591682,Blackstone Bar & Grill,40.887253200116284,-73.9072508524159,Bar
208,Fieldston,40.89543742690383,-73.90564259591682,Barcelona Bites Gastro Club,40.889351,-73.899247,Lounge
209,Fieldston,40.89543742690383,-73.90564259591682,New Riverdale Deli,40.887269605085706,-73.90512674452026,Sandwich Place
210,Fieldston,40.89543742690383,-73.90564259591682,Rolen Bagels,40.88662386774234,-73.90716818359404,Bagel Shop
211,Fieldston,40.89543742690383,-73.90564259591682,Goodfella's Pizza,40.88712132107213,-73.90430120748528,Pizza Place
212,Fieldston,40.89543742690383,-73.90564259591682,Dunkin',40.89016170726231,-73.89839903612506,Donut Shop
213,Fieldston,40.89543742690383,-73.90564259591682,Burrito Shop,40.88970321678889,-73.89850865735627,Mexican Restaurant
214,Fieldston,40.89543742690383,-73.90564259591682,Tiny's Diner,40.8866525233077,-73.90722113692334,Diner
215,Fieldston,40.89543742690383,-73.90564259591682,Planet Wings,40.88984492265679,-73.89849481350521,Wings Joint
216,Fieldston,40.89543742690383,-73.90564259591682,Starbucks,40.890105,-73.900758,Coffee Shop
217,Fieldston,40.89543742690383,-73.90564259591682,Papa John's Pizza,40.88688268179659,-73.9084571226761,Pizza Place
218,Fieldston,40.89543742690383,-73.90564259591682,Wells Fargo Bank,40.887013098817796,-73.90743121504784,Bank
219,Fieldston,40.89543742690383,-73.90564259591682,SUBWAY,40.890145000000004,-73.89850600000001,Sandwich Place
220,Fieldston,40.89543742690383,-73.90564259591682,Santa Fe Grill & Bar,40.89147882667728,-73.89766062927612,Mexican Restaurant
221,Fieldston,40.89543742690383,-73.90564259591682,Burger King,40.89121949532642,-73.89788103173487,Fast Food Restaurant
222,Fieldston,40.89543742690383,-73.90564259591682,Fieldston Road Circle,40.89448851736085,-73.90562087134356,Plaza
223,Fieldston,40.89543742690383,-73.90564259591682,Riverside Drive,40.896507486527454,-73.90826091791374,River
224,Fieldston,40.89543742690383,-73.90564259591682,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,40.89354823043404,-73.90815138816833,Bus Station
225,Fieldston,40.89543742690383,-73.90564259591682,Medical Billing Practice Management,40.89294,-73.90087,Medical School
226,Fieldston,40.89543742690383,-73.90564259591682,Shallash Pest Control,40.89466945869686,-73.91321539878845,Home Service
227,Fieldston,40.89543742690383,-73.90564259591682,Glyndor Gallery,40.898986,-73.912341,Art Gallery
228,Fieldston,40.89543742690383,-73.90564259591682,Riverdale Park,40.896472396482785,-73.91399171283997,Playground
229,Fieldston,40.89543742690383,-73.90564259591682,Skyview Shopping Center,40.903429082829355,-73.90584354485044,Shopping Mall
230,Fieldston,40.89543742690383,-73.90564259591682,Tony and Val's,40.895933,-73.89702,Pizza Place
231,Fieldston,40.89543742690383,-73.90564259591682,Wave Hill House,40.900086,-73.912527,Historic Site
232,Fieldston,40.89543742690383,-73.90564259591682,Fontenova Spanish & Mexican Tapas,40.889447,-73.899238,Tapas Restaurant
233,Fieldston,40.89543742690383,-73.90564259591682,Stiff Weasel Grill & Deli,40.89013695399729,-73.89823723815233,Deli / Bodega
234,Fieldston,40.89543742690383,-73.90564259591682,Sammy's Deli,40.889721,-73.898738,Deli / Bodega
235,Fieldston,40.89543742690383,-73.90564259591682,Parkview Sports Center,40.889721,-73.898738,Sporting Goods Shop
236,Fieldston,40.89543742690383,-73.90564259591682,Blue Charcoal Grill,40.889862,-73.89852,Restaurant
237,Fieldston,40.89543742690383,-73.90564259591682,Broadway Chinese Kitchen,40.889798006427995,-73.8984783876625,Chinese Restaurant
238,Fieldston,40.89543742690383,-73.90564259591682,Best Deli & Grill,40.889586147182904,-73.89863149829466,Deli / Bodega
239,Fieldston,40.89543742690383,-73.90564259591682,Russian Mission Gym,40.90286756006436,-73.90203243755298,Gym
